geometry,spin,inclination_deg,arm,snr0,a0_999_lower_limit_M,J_old,J_old_best_mode,J_old_log_volume,deltaG_rank,deltaG_trace,deltaG_stable_rank,deltaG_min_positive_eigenvalue,deltaG_max_eigenvalue,deltaG_min_eigenvalue,deltaG_numerical_tolerance
a000_i050,0.0,50,DIRECT_PHYSICAL,30.0,58.11851405777771,2.078490278351758,7.295737841050398,14.588370220514554,,,,,,,
a000_i050,0.0,50,DIRECT_PHYSICAL,100.0,58.11851405777771,8.342603276052957,17.5546961561801,43.04715543400034,,,,,,,
a000_i050,0.0,50,DIRECT_PHYSICAL,300.0,58.11851405777771,18.073078820630506,31.488909711040392,91.38450088244743,,,,,,,
a000_i050,0.0,50,DIRECT_PHYSICAL,1000.0,58.11851405777771,33.78823621279412,49.964518511111365,175.4077758646608,,,,,,,
a000_i050,0.0,50,DIRECT_PHYSICAL,3000.0,58.11851405777771,50.78473407223885,68.30304153996185,282.1680282865124,,,,,,,
a000_i050,0.0,50,DIRECT_PHYSICAL,10000.0,58.11851405777771,71.06061719907582,92.50606553867479,441.5292174352104,,,,,,,
a000_i050,0.0,50,DIRECT_PHYSICAL,30000.0,58.11851405777771,93.41243075719518,117.83965650354676,630.9366008860269,,,,,,,
a000_i050,0.0,50,DIRECT_PHYSICAL,100000.0,58.11851405777771,121.24793183093838,146.38783880886467,887.1857078151434,,,,,,,
a000_i050,0.0,50,DIRECT_PHYSICAL,1000000.0,58.11851405777771,176.27981022452298,203.8598089029047,1537.1459305010642,,,,,,,
a000_i050,0.0,50,DIRECT_PHYSICAL,100.0,58.11851405777771,8.342603276052957,17.5546961561801,43.04715543400034,,,,,,,
a000_i050,0.0,50,RESOLVED_PHYSICAL,1.0,58.11851405777771,0.010846877534453745,0.0772903807035856,0.21473542223810999,,,,,,,
a000_i050,0.0,50,RESOLVED_PHYSICAL,3.0,58.11851405777771,0.09716693616887878,0.6681163803108756,1.8942755501128115,,,,,,,
a000_i050,0.0,50,RESOLVED_PHYSICAL,10.0,58.11851405777771,1.0314532071729936,5.884793915004518,18.57889964483592,,,,,,,
a000_i050,0.0,50,RESOLVED_PHYSICAL,30.0,58.11851405777771,7.487761234259087,29.097916196192994,115.92603898357274,,,,,,,
a000_i050,0.0,50,RESOLVED_PHYSICAL,100.0,58.11851405777771,40.92859703267712,92.47683224840029,534.8378927632211,,,,,,,
a000_i050,0.0,50,RESOLVED_PHYSICAL,300.0,58.11851405777771,108.30491289238938,177.76965501186305,1424.2289075064486,,,,,,,
a000_i050,0.0,50,RESOLVED_PHYSICAL,1000.0,58.11851405777771,210.43896118672288,296.03132265693444,3075.144139807713,,,,,,,
a000_i050,0.0,50,RESOLVED_PHYSICAL,3000.0,58.11851405777771,326.7927120147224,427.75500238257325,5182.822289164578,,,,,,,
a000_i050,0.0,50,RESOLVED_PHYSICAL,10000.0,58.11851405777771,475.45010754689037,586.3677511581315,7976.0796864605645,,,,,,,
a000_i050,0.0,50,RESOLVED_PHYSICAL,30000.0,58.11851405777771,621.1203989892383,735.9067187703802,10835.070229693818,,,,,,,
a000_i050,0.0,50,RESOLVED_PHYSICAL,100000.0,58.11851405777771,785.1914620676998,904.371329702625,14232.043056257175,,,,,,,
a000_i050,0.0,50,RESOLVED_PHYSICAL,1000000.0,58.11851405777771,1111.2336837156543,1234.7071017422836,21297.80245431829,,,,,,,
a000_i050,0.0,50,RESOLVED_PHYSICAL,100.0,58.11851405777771,40.92859703267712,92.47683224840029,534.8378927632211,,,,,,,
a000_i050,0.0,50,UNRESOLVED_IMAGE,1.0,58.11851405777771,0.0038128176312368584,0.03178751349572863,0.0522715765848783,,,,,,,
a000_i050,0.0,50,UNRESOLVED_IMAGE,3.0,58.11851405777771,0.03403228656024671,0.26729984274394597,0.447083397653438,,,,,,,
a000_i050,0.0,50,UNRESOLVED_IMAGE,10.0,58.11851405777771,0.3488024342238326,2.037543811252153,3.7056726354874847,,,,,,,
a000_i050,0.0,50,UNRESOLVED_IMAGE,30.0,58.11851405777771,2.2025561348132108,7.955256061088655,17.200045820576488,,,,,,,
a000_i050,0.0,50,UNRESOLVED_IMAGE,100.0,58.11851405777771,9.610485885343154,23.665237427122577,68.52617474502978,,,,,,,
a000_i050,0.0,50,UNRESOLVED_IMAGE,300.0,58.11851405777771,26.999357067842496,60.74736026671788,237.60407503570417,,,,,,,
a000_i050,0.0,50,UNRESOLVED_IMAGE,1000.0,58.11851405777771,76.55123902187573,135.59733702060177,759.7809151210097,,,,,,,
a000_i050,0.0,50,UNRESOLVED_IMAGE,3000.0,58.11851405777771,151.8523170830135,223.80150875904582,1672.3059305178786,,,,,,,
a000_i050,0.0,50,UNRESOLVED_IMAGE,10000.0,58.11851405777771,251.62336458071607,332.3634214509843,3166.4104289298384,,,,,,,
a000_i050,0.0,50,UNRESOLVED_IMAGE,30000.0,58.11851405777771,352.5190980640284,442.8332535905193,4962.008571720658,,,,,,,
a000_i050,0.0,50,UNRESOLVED_IMAGE,100000.0,58.11851405777771,478.5909002025579,583.9038304556681,7397.513945810336,,,,,,,
