delay_structure,spatial_structure,attenuation,gamma,seed,max_order,numerical_rank,operational_rank,new_algebraic_modes,new_operational_modes,sigma_min_positive,kappa_positive
perturbed,rotation_shear,equalized,0.0,9000,5,24,19,0,3,0.1252704252267828,26.16115940237723
perturbed,rotation_shear,exponential,0.3,9000,0,16,4,16,4,3.242219378726888e-05,32398.98435589761
perturbed,rotation_shear,exponential,0.3,9000,1,24,8,8,4,1.4048212789415115e-05,97549.68285218748
perturbed,rotation_shear,exponential,0.3,9000,2,24,9,0,1,0.0005766887392637195,2665.487099931996
perturbed,rotation_shear,exponential,0.3,9000,3,24,9,0,0,0.0032772545074460997,490.15626155008175
perturbed,rotation_shear,exponential,0.3,9000,4,24,9,0,0,0.022020926023022757,74.02627896343337
perturbed,rotation_shear,exponential,0.3,9000,5,24,10,0,1,0.08329143000765218,19.853417351482197
perturbed,rotation_shear,exponential,0.6,9000,0,16,4,16,4,3.242219378726888e-05,32398.98435589761
perturbed,rotation_shear,exponential,0.6,9000,1,24,7,8,3,1.4032493976615467e-05,88071.73437092867
perturbed,rotation_shear,exponential,0.6,9000,2,24,7,0,0,0.00048001917473614346,2692.3828636785115
perturbed,rotation_shear,exponential,0.6,9000,3,24,7,0,0,0.002318588952590356,562.2657852583488
perturbed,rotation_shear,exponential,0.6,9000,4,24,7,0,0,0.010801993236930723,120.79603520195846
perturbed,rotation_shear,exponential,0.6,9000,5,24,7,0,0,0.036258981003125086,36.00166540390025
perturbed,rotation_shear,exponential,0.9,9000,0,16,4,16,4,3.242219378726888e-05,32398.98435589761
perturbed,rotation_shear,exponential,0.9,9000,1,24,7,8,3,1.4003948700864544e-05,82522.05139489252
perturbed,rotation_shear,exponential,0.9,9000,2,24,7,0,0,0.000393153348391136,2985.362402151382
perturbed,rotation_shear,exponential,0.9,9000,3,24,7,0,0,0.0015858915290225984,741.1897646767843
perturbed,rotation_shear,exponential,0.9,9000,4,24,7,0,0,0.005152174127618089,228.15707562318823
perturbed,rotation_shear,exponential,0.9,9000,5,24,7,0,0,0.01043870533242209,112.61123264867462
perturbed,independent,equalized,0.0,9000,0,16,0,16,0,4.319359641559599e-06,187472.01949768644
perturbed,independent,equalized,0.0,9000,1,24,3,8,3,1.6049265165986443e-05,65742.86236231674
perturbed,independent,equalized,0.0,9000,2,24,3,0,0,0.0005912163468214312,1916.9424892585344
perturbed,independent,equalized,0.0,9000,3,24,6,0,3,0.00345967421834138,336.6496874019454
perturbed,independent,equalized,0.0,9000,4,24,6,0,0,0.038022351292565655,32.12674245819107
perturbed,independent,equalized,0.0,9000,5,24,8,0,2,0.053209941501541465,27.19425277838024
perturbed,independent,exponential,0.3,9000,0,16,0,16,0,4.319359641559599e-06,187472.01949768644
perturbed,independent,exponential,0.3,9000,1,24,0,8,0,1.6029806100495868e-05,58859.08977568928
perturbed,independent,exponential,0.3,9000,2,24,0,0,0,0.00045334430118455787,2137.5099367380235
perturbed,independent,exponential,0.3,9000,3,24,0,0,0,0.0023154928255970783,420.0021306956547
perturbed,independent,exponential,0.3,9000,4,24,0,0,0,0.017420870723748805,56.083768277031645
perturbed,independent,exponential,0.3,9000,5,24,0,0,0,0.034010410274555036,28.758315209867895
perturbed,independent,exponential,0.6,9000,0,16,0,16,0,4.319359641559599e-06,187472.01949768644
perturbed,independent,exponential,0.6,9000,1,24,0,8,0,1.5994239471711883e-05,55139.65059993585
perturbed,independent,exponential,0.6,9000,2,24,0,0,0,0.00033953167884062516,2621.7113135031454
perturbed,independent,exponential,0.6,9000,3,24,0,0,0,0.001480422316004991,601.8942319965986
perturbed,independent,exponential,0.6,9000,4,24,0,0,0,0.008221706933184207,108.40409967976979
perturbed,independent,exponential,0.6,9000,5,24,0,0,0,0.01705059574986684,52.27278388088196
perturbed,independent,exponential,0.9,9000,0,16,0,16,0,4.319359641559599e-06,187472.01949768644
perturbed,independent,exponential,0.9,9000,1,24,0,8,0,1.5928381874762488e-05,53286.189119850525
perturbed,independent,exponential,0.9,9000,2,24,0,0,0,0.00025352764500440007,3358.0511489307905
perturbed,independent,exponential,0.9,9000,3,24,0,0,0,0.0008462184297549139,1006.3101197977215
