arm,estimator,snr0,regime,n_truths,n_draws,seconds,freeze_sha256
DIRECT_PHYSICAL,TIKHONOV_TEMPORAL,1000.0,OFF_GRID_OOD,64,9,0.18335318565368652,4ef162320e09086a16f1e130b09a507d399438740647147560f339cd2aa60069
DIRECT_PHYSICAL,WIENER_GAUSSIAN,1000.0,IN_CLASS_ID,256,9,0.8459336757659912,4ef162320e09086a16f1e130b09a507d399438740647147560f339cd2aa60069
DIRECT_PHYSICAL,WIENER_GAUSSIAN,1000.0,IN_CLASS_OOD,64,9,0.28191184997558594,4ef162320e09086a16f1e130b09a507d399438740647147560f339cd2aa60069
DIRECT_PHYSICAL,WIENER_GAUSSIAN,1000.0,OFF_GRID_ID,256,9,0.8822855949401855,4ef162320e09086a16f1e130b09a507d399438740647147560f339cd2aa60069
DIRECT_PHYSICAL,WIENER_GAUSSIAN,1000.0,OFF_GRID_OOD,64,9,0.21593952178955078,4ef162320e09086a16f1e130b09a507d399438740647147560f339cd2aa60069
DIRECT_PHYSICAL,LINEAR_STATE_SPACE,1000.0,IN_CLASS_ID,256,9,0.7676453590393066,4ef162320e09086a16f1e130b09a507d399438740647147560f339cd2aa60069
DIRECT_PHYSICAL,LINEAR_STATE_SPACE,1000.0,IN_CLASS_OOD,64,9,0.20820069313049316,4ef162320e09086a16f1e130b09a507d399438740647147560f339cd2aa60069
DIRECT_PHYSICAL,LINEAR_STATE_SPACE,1000.0,OFF_GRID_ID,256,9,0.7775228023529053,4ef162320e09086a16f1e130b09a507d399438740647147560f339cd2aa60069
DIRECT_PHYSICAL,LINEAR_STATE_SPACE,1000.0,OFF_GRID_OOD,64,9,0.38318610191345215,4ef162320e09086a16f1e130b09a507d399438740647147560f339cd2aa60069
DIRECT_PHYSICAL,TSVD,3000.0,IN_CLASS_ID,256,9,0.8784070014953613,4ef162320e09086a16f1e130b09a507d399438740647147560f339cd2aa60069
DIRECT_PHYSICAL,TSVD,3000.0,IN_CLASS_OOD,64,9,0.21374082565307617,4ef162320e09086a16f1e130b09a507d399438740647147560f339cd2aa60069
DIRECT_PHYSICAL,TSVD,3000.0,OFF_GRID_ID,256,9,0.7805867195129395,4ef162320e09086a16f1e130b09a507d399438740647147560f339cd2aa60069
DIRECT_PHYSICAL,TSVD,3000.0,OFF_GRID_OOD,64,9,0.21961092948913574,4ef162320e09086a16f1e130b09a507d399438740647147560f339cd2aa60069
DIRECT_PHYSICAL,RIDGE_IDENTITY,3000.0,IN_CLASS_ID,256,9,0.8921153545379639,4ef162320e09086a16f1e130b09a507d399438740647147560f339cd2aa60069
DIRECT_PHYSICAL,RIDGE_IDENTITY,3000.0,IN_CLASS_OOD,64,9,0.23929619789123535,4ef162320e09086a16f1e130b09a507d399438740647147560f339cd2aa60069
DIRECT_PHYSICAL,RIDGE_IDENTITY,3000.0,OFF_GRID_ID,256,9,0.9092710018157959,4ef162320e09086a16f1e130b09a507d399438740647147560f339cd2aa60069
DIRECT_PHYSICAL,RIDGE_IDENTITY,3000.0,OFF_GRID_OOD,64,9,0.22508883476257324,4ef162320e09086a16f1e130b09a507d399438740647147560f339cd2aa60069
DIRECT_PHYSICAL,TIKHONOV_TEMPORAL,3000.0,IN_CLASS_ID,256,9,0.7689361572265625,4ef162320e09086a16f1e130b09a507d399438740647147560f339cd2aa60069
DIRECT_PHYSICAL,TIKHONOV_TEMPORAL,3000.0,IN_CLASS_OOD,64,9,0.2444901466369629,4ef162320e09086a16f1e130b09a507d399438740647147560f339cd2aa60069
DIRECT_PHYSICAL,TIKHONOV_TEMPORAL,3000.0,OFF_GRID_ID,256,9,0.8038740158081055,4ef162320e09086a16f1e130b09a507d399438740647147560f339cd2aa60069
DIRECT_PHYSICAL,TIKHONOV_TEMPORAL,3000.0,OFF_GRID_OOD,64,9,0.22825264930725098,4ef162320e09086a16f1e130b09a507d399438740647147560f339cd2aa60069
