family,index,truth_seed,off_manifold,canary,expected_multiplicity,n_ages,n_single_resolved,n_multi_resolved,n_blended,n_dead,n_ambiguous,grid_convergence_cells_median,grid_convergence_cells_max,grid_convergence_cardinality_error_max,contrast_fraction,peak_fraction_of_background
plunging_feature,6,2785790553273291984,False,False,1,61,61,0,0,0,0,0.2518806050642887,0.2518806050642932,0,0.12099096325579545,0.6702182867232629
plunging_feature,7,6680681437872422669,False,False,1,61,61,0,0,0,0,0.25571567721422467,0.2557156772142291,0,0.10496716647818621,0.4425185322295527
plunging_feature,8,9098540576329350559,False,False,1,61,61,0,0,0,0,0.04608294930875537,0.254211797950044,0,0.12903992964015057,0.6323299685719918
plunging_feature,9,7103448108564587192,False,False,1,61,61,0,0,0,0,0.25571567721422467,0.2557156772142291,0,0.09031129520487045,0.4662517159045373
plunging_feature,10,6991685331775085026,False,False,1,61,61,0,0,0,0,0.33482913306190015,0.33482913306190354,0,0.08548519234310861,0.5403201635711502
plunging_feature,11,7936919958489013787,False,False,1,61,61,0,0,0,0,0.33482913306190015,0.33482913306190354,0,0.16660671458048812,0.756555750447508
plunging_feature,12,5314726078609398897,False,False,1,61,61,0,0,0,0,0.32976980026994135,0.3297698002699448,0,0.07893262108290752,0.395328381071908
plunging_feature,13,4771656939928271399,False,False,1,61,61,0,0,0,0,0.21505376344086016,0.3297698002699448,0,0.10118041315753132,0.6092062613718316
plunging_feature,14,3466985592492403524,False,False,1,61,61,0,0,0,0,0.25293230074824463,0.25293230074824913,0,0.13233418711486788,0.5153617825636672
plunging_feature,15,9198346826924539588,False,False,1,61,61,0,0,0,0,0.2504714750263744,0.25047147502637895,0,0.10702137062958184,0.5011433107576295
plunging_feature,16,3149771362557229550,False,False,1,61,61,0,0,0,0,0.33998669889399097,0.3399866988939943,0,0.14763906548294556,0.7328175341818388
plunging_feature,17,1489170763173960438,False,False,1,61,61,0,0,0,0,0.25421179795004184,0.2542117979500463,0,0.10548371792814121,0.7712078528249463
plunging_feature,18,685077797417588105,False,False,1,61,61,0,0,0,0,0.2688172043010763,0.36710038045233406,0,0.07717191351726692,0.7297694926947786
plunging_feature,19,1731427747631282290,False,False,1,61,61,0,0,0,0,0.2534562211981559,0.3560056966735931,0,0.13687836121702496,0.6162489534618387
plunging_feature,20,2634696197975241965,False,False,1,61,61,0,0,0,0,0.04608294930875537,0.2542117979500463,0,0.06454385243865196,0.41221773720513977
plunging_feature,21,1629525014040377383,False,False,1,61,61,0,0,0,0,0.25293230074824463,0.25293230074824913,0,0.05091098548619493,0.33173449160321034
plunging_feature,22,7596393125618123822,False,False,1,61,61,0,0,0,0,0.25105957371557824,0.25105957371558274,0,0.1154420614954314,0.5232805541931127
plunging_feature,23,6593772654209416538,False,False,1,61,61,0,0,0,0,0.19969278033794105,0.3199643832039714,0,0.0590945874977515,0.40154828706204854
three_hotspot_cluster,0,6579012392487250482,True,False,3,61,0,61,0,0,0,0.2059218400175347,0.29518095357411533,0,0.03832702257925536,0.3515049483078086
three_hotspot_cluster,1,9202127323079869554,True,False,3,61,0,61,0,0,0,0.2037306774082911,0.2755031591893533,1,0.0601078348985387,0.3133205795009335
three_hotspot_cluster,2,183652719240436429,True,False,3,61,0,61,0,0,0,0.14237426023664507,0.263027739474947,0,0.019056513525332237,0.41212698464128816
three_hotspot_cluster,3,7081802380453915189,True,False,3,61,0,61,0,0,0,0.25478414955667666,0.32317770882159347,0,0.017113830018752663,0.3760664951719218
three_hotspot_cluster,4,1194133583821325651,True,False,3,61,0,61,0,0,0,0.2589595649418156,0.485898972283577,0,0.04877394376277524,0.5521085476319441
three_hotspot_cluster,5,4718657337315877792,True,False,3,61,0,61,0,0,0,0.2646987875492948,0.31384231912394706,0,0.06452031291644933,0.799175060622469
three_hotspot_cluster,6,7270022778201140736,True,False,3,61,0,61,0,0,0,0.19020527694135136,0.2856642802028159,0,0.0444446215463921,0.796615081713848
three_hotspot_cluster,7,1714211899034954491,True,False,3,61,0,61,0,0,0,0.20032496628309668,0.2676423784011011,0,0.07122240620793871,0.7534883033357898
counter_rotating_pair,0,4930733341900043913,True,False,2,61,0,61,0,0,0,0.20711131166444474,0.2752231402587747,0,0.04357331785202124,0.3304766415222493
counter_rotating_pair,1,3054443641886635052,True,False,2,61,0,36,14,0,11,0.1601057355962687,0.26108185377327553,1,0.03592584424308941,0.3579153472337109
counter_rotating_pair,2,4897406635896896615,True,False,2,61,0,61,0,0,0,0.1616681109565875,0.25679609327304487,0,0.05556784351167041,0.5487328005370068
counter_rotating_pair,3,3501001428750926720,True,False,2,61,0,0,61,0,0,0.38429349263501883,0.38429349263502033,0,0.04137115194337826,0.5947856916100477
counter_rotating_pair,4,2947046365070041646,True,False,2,61,0,61,0,0,0,0.18919457832564499,0.29645949982112046,0,0.01916628452441179,0.5907156811186858
counter_rotating_pair,5,5010918417897267735,True,False,2,61,0,0,0,0,61,0.25421179795004184,0.2542117979500463,1,0.031062192917525863,0.5169563337462157
counter_rotating_pair,6,2342508911707059927,True,False,2,61,0,61,0,0,0,0.23246359195423189,0.3196046578116363,0,0.031081764396662104,0.5126937215663367
counter_rotating_pair,7,3724031755661111872,True,False,2,61,0,0,61,0,0,0.23041474654377825,0.3399866988939924,0,0.010992643156775376,0.3687216756216247
radially_drifting_arc,0,319221308695189961,True,False,1,61,61,0,0,0,0,0.32976980026994196,0.36710038045232973,0,0.04759703933519735,0.7491585494139725
radially_drifting_arc,1,2945428819239559596,True,False,1,61,61,0,0,0,0,0.0921658986175112,0.3302611367127498,0,0.0966211459093057,0.6812857400001702
radially_drifting_arc,2,8032292855878104022,True,False,1,61,61,0,0,0,0,0.04608294930875557,0.2918586789554522,0,0.04262725887325757,0.581981392853349
radially_drifting_arc,3,6077524340872564115,True,False,1,61,61,0,0,0,0,0.1612903225806442,0.32258064516129,0,0.08974996550003297,0.6099483961939449
radially_drifting_arc,4,9217927815183506052,True,False,1,61,61,0,0,0,0,0.2692012288786499,0.4203623961700982,0,0.10922344103805605,0.7042399912965395
radially_drifting_arc,5,4625642219533931291,True,False,1,61,61,0,0,0,0,0.023041474654377093,0.26113671274961664,0,0.033170766555098326,0.5208944558203475
radially_drifting_arc,6,6569841118791795206,True,False,1,61,61,0,0,0,0,0.0921658986175112,0.3302611367127498,0,0.1007157102748498,0.7141638566546358
radially_drifting_arc,7,723411492297507957,True,False,1,61,61,0,0,0,0,0.23041474654377825,0.25345622119815675,0,0.030462154591099907,0.6105355474853694
two_hotspot_trajectories,-1,5947676549930671483,False,True,2,61,0,0,61,0,0,0.250117952075559,0.250117952075559,0,0.018230111234069195,0.579343750047933
