source_class,bank,family,split,index,representation_floor_relative,representation_floor_structure_relative,old_band_structure_floor
L448,structure_balanced_050,circular_crescent,selection,6,0.1910242453909324,0.3263316888703634,0.6316242515379759
L448,structure_balanced_050,circular_crescent,selection,7,0.24526430229512755,0.44635806304482334,1.3020714678163638
L448,structure_balanced_050,circular_single_hotspot,pilot,0,0.4412117025893323,0.8586549266423243,2.028956413572701
L448,structure_balanced_050,circular_single_hotspot,pilot,1,0.37393604296192834,0.7196733999216839,0.8092343377435496
L448,structure_balanced_050,circular_single_hotspot,pilot,2,0.23644752577914158,0.42686879495891494,1.2976518041870886
L448,structure_balanced_050,circular_single_hotspot,pilot,3,0.39670957760894965,0.7669126528216461,0.9647758105852422
L448,structure_balanced_050,circular_single_hotspot,pilot,4,0.19546673410431414,0.33383556616469084,0.7667209276333228
L448,structure_balanced_050,circular_single_hotspot,pilot,5,0.319377372612705,0.6054890627520115,1.3777977220188242
L448,structure_balanced_050,circular_single_hotspot,pilot,6,0.39496240325333926,0.7632723158284035,0.956938055919133
L448,structure_balanced_050,circular_single_hotspot,pilot,7,0.2738154913010075,0.5084520056589426,0.898504949099278
L448,structure_balanced_050,circular_single_hotspot,selection,0,0.20299878738895485,0.3513457992528704,0.3878264028613557
L448,structure_balanced_050,circular_single_hotspot,selection,1,0.19710799050931688,0.3376735863736427,0.745857643081288
